OBJECTID,PRECINCTID,NAME,COUNTY,LASTUPDATE,LASTEDITOR,PRECINCTID_1,NAME_1,TOWNSHIP,WINPARTY,WINPERCENT,WINCATEGORY,TOTBALLOTSLINK,INPERSON,TOTBALLOTS,CANDIDATE1,PARTY1,NUMVOTES1,PERCVOTE1,CANDIDATE2,PARTY2,NUMVOTES2,PERCVOTE2,CANDIDATE3,PARTY3,NUMVOTES3,PERCVOTE3
162,530,HOLMES #2,Fairfax,2016-03-16T11:51:43.000Z,stulad,530,HOLMES #2,Fairfax County,Hillary Clinton,0.269565,10,460,441,460,Hillary Clinton,Hillary Clinton,280,0.608696,Martin J. O'Malley,Martin J. O'Malley,5,0.01087,Bernie Sanders,Bernie Sanders,156,0.33913
163,505,GLEN FOREST,Fairfax,2016-03-16T11:51:43.000Z,stulad,505,GLEN FOREST,Fairfax County,Hillary Clinton,0.298932,10,562,539,562,Hillary Clinton,Hillary Clinton,351,0.624555,Martin J. O'Malley,Martin J. O'Malley,4,0.007117,Bernie Sanders,Bernie Sanders,183,0.325623
164,514,CROSSROADS,Fairfax,2016-03-16T11:51:43.000Z,stulad,514,CROSSROADS,Fairfax County,Hillary Clinton,0.533898,30,354,311,354,Hillary Clinton,Hillary Clinton,248,0.700565,Martin J. O'Malley,Martin J. O'Malley,2,0.00565,Bernie Sanders,Bernie Sanders,59,0.166667
165,501,BAILEYS,Fairfax,2016-03-16T11:51:43.000Z,stulad,501,BAILEYS,Fairfax County,Hillary Clinton,0.38177,30,757,720,757,Hillary Clinton,Hillary Clinton,504,0.665786,Martin J. O'Malley,Martin J. O'Malley,1,0.001321,Bernie Sanders,Bernie Sanders,215,0.284016
166,516,WEYANOKE,Fairfax,2016-03-16T11:51:43.000Z,stulad,516,WEYANOKE,Fairfax County,Hillary Clinton,0.273187,10,593,570,593,Hillary Clinton,Hillary Clinton,364,0.613828,Martin J. O'Malley,Martin J. O'Malley,4,0.006745,Bernie Sanders,Bernie Sanders,202,0.340641
167,527,EDSALL,Fairfax,2016-03-16T11:51:43.000Z,stulad,527,EDSALL,Fairfax County,Hillary Clinton,0.329519,30,437,416,437,Hillary Clinton,Hillary Clinton,279,0.638444,Martin J. O'Malley,Martin J. O'Malley,2,0.004577,Bernie Sanders,Bernie Sanders,135,0.308924
168,511,RAVENWOOD,Fairfax,2016-03-16T11:51:43.000Z,stulad,511,RAVENWOOD,Fairfax County,Hillary Clinton,0.387755,30,637,591,637,Hillary Clinton,Hillary Clinton,418,0.656201,Martin J. O'Malley,Martin J. O'Malley,2,0.00314,Bernie Sanders,Bernie Sanders,171,0.268446
169,802,CEDAR LAKE,Fairfax,2016-03-16T11:51:43.000Z,stulad,802,CEDAR LAKE,Fairfax County,Hillary Clinton,0.140426,10,235,225,235,Hillary Clinton,Hillary Clinton,128,0.544681,Martin J. O'Malley,Martin J. O'Malley,2,0.008511,Bernie Sanders,Bernie Sanders,95,0.404255
170,848,FAIR OAKS,Fairfax,2016-03-16T11:51:43.000Z,stulad,848,FAIR OAKS,Fairfax County,Hillary Clinton,0.201802,10,555,538,555,Hillary Clinton,Hillary Clinton,323,0.581982,Martin J. O'Malley,Martin J. O'Malley,4,0.007207,Bernie Sanders,Bernie Sanders,211,0.38018
171,851,WILLOW SPRINGS,Fairfax,2016-03-16T11:51:43.000Z,stulad,851,WILLOW SPRINGS,Fairfax County,Hillary Clinton,0.171674,10,466,429,466,Hillary Clinton,Hillary Clinton,254,0.545064,Martin J. O'Malley,Martin J. O'Malley,2,0.004292,Bernie Sanders,Bernie Sanders,174,0.373391
172,804,COLCHESTER,Fairfax,2016-03-16T11:51:43.000Z,stulad,804,COLCHESTER,Fairfax County,Hillary Clinton,0.300752,30,266,250,266,Hillary Clinton,Hillary Clinton,164,0.616541,Martin J. O'Malley,Martin J. O'Malley,2,0.007519,Bernie Sanders,Bernie Sanders,84,0.315789
173,841,POPES HEAD,Fairfax,2016-03-16T11:51:43.000Z,stulad,841,POPES HEAD,Fairfax County,Hillary Clinton,0.274809,10,262,241,262,Hillary Clinton,Hillary Clinton,156,0.59542,Martin J. O'Malley,Martin J. O'Malley,1,0.003817,Bernie Sanders,Bernie Sanders,84,0.320611
174,805,FAIRFAX STATION,Fairfax,2016-03-16T11:51:43.000Z,stulad,805,FAIRFAX STATION,Fairfax County,Hillary Clinton,0.235741,10,263,247,263,Hillary Clinton,Hillary Clinton,154,0.585551,Martin J. O'Malley,Martin J. O'Malley,1,0.003802,Bernie Sanders,Bernie Sanders,92,0.34981
175,815,WOODYARD,Fairfax,2016-03-16T11:51:43.000Z,stulad,815,WOODYARD,Fairfax County,Hillary Clinton,0.295508,10,423,394,423,Hillary Clinton,Hillary Clinton,259,0.612293,Martin J. O'Malley,Martin J. O'Malley,1,0.002364,Bernie Sanders,Bernie Sanders,134,0.316785
176,406,HAYFIELD,Fairfax,2016-03-16T11:51:43.000Z,stulad,406,HAYFIELD,Fairfax County,Hillary Clinton,0.332136,30,557,516,557,Hillary Clinton,Hillary Clinton,348,0.624776,Martin J. O'Malley,Martin J. O'Malley,5,0.008977,Bernie Sanders,Bernie Sanders,163,0.292639
177,404,FRANCONIA,Fairfax,2016-03-16T11:51:43.000Z,stulad,404,FRANCONIA,Fairfax County,Hillary Clinton,0.325645,30,737,684,737,Hillary Clinton,Hillary Clinton,460,0.624152,Martin J. O'Malley,Martin J. O'Malley,4,0.005427,Bernie Sanders,Bernie Sanders,220,0.298507
178,422,VAN DORN,Fairfax,2016-03-16T11:51:43.000Z,stulad,422,VAN DORN,Fairfax County,Hillary Clinton,0.312757,30,729,688,729,Hillary Clinton,Hillary Clinton,456,0.625514,Martin J. O'Malley,Martin J. O'Malley,4,0.005487,Bernie Sanders,Bernie Sanders,228,0.312757
179,844,CENTERPOINTE,Fairfax,2016-03-16T11:51:43.000Z,stulad,844,CENTERPOINTE,Fairfax County,Hillary Clinton,0.036053,2,527,502,527,Hillary Clinton,Hillary Clinton,260,0.493359,Martin J. O'Malley,Martin J. O'Malley,1,0.001898,Bernie Sanders,Bernie Sanders,241,0.457305
180,850,SOUTH RUN,Fairfax,2016-03-16T11:51:43.000Z,stulad,850,SOUTH RUN,Fairfax County,Hillary Clinton,0.361169,30,479,448,479,Hillary Clinton,Hillary Clinton,309,0.645094,Martin J. O'Malley,Martin J. O'Malley,3,0.006263,Bernie Sanders,Bernie Sanders,136,0.283925
181,839,SILVERBROOK,Fairfax,2016-03-16T11:51:43.000Z,stulad,839,SILVERBROOK,Fairfax County,Hillary Clinton,0.306667,30,600,562,600,Hillary Clinton,Hillary Clinton,372,0.62,Martin J. O'Malley,Martin J. O'Malley,2,0.003333,Bernie Sanders,Bernie Sanders,188,0.313333
182,806,SYDENSTRICKER,Fairfax,2016-03-16T11:51:43.000Z,stulad,806,SYDENSTRICKER,Fairfax County,Hillary Clinton,0.316667,30,600,572,600,Hillary Clinton,Hillary Clinton,380,0.633333,Martin J. O'Malley,Martin J. O'Malley,2,0.003333,Bernie Sanders,Bernie Sanders,190,0.316667
183,807,HUNT VALLEY,Fairfax,2016-03-16T11:51:43.000Z,stulad,807,HUNT VALLEY,Fairfax County,Hillary Clinton,0.293399,10,409,392,409,Hillary Clinton,Hillary Clinton,253,0.618582,Martin J. O'Malley,Martin J. O'Malley,6,0.01467,Bernie Sanders,Bernie Sanders,133,0.325183
184,811,POHICK,Fairfax,2016-03-16T11:51:43.000Z,stulad,811,POHICK,Fairfax County,Hillary Clinton,0.12357,10,437,412,437,Hillary Clinton,Hillary Clinton,231,0.528604,Martin J. O'Malley,Martin J. O'Malley,4,0.009153,Bernie Sanders,Bernie Sanders,177,0.405034
185,803,CLIFTON,Fairfax,2016-03-16T11:51:43.000Z,stulad,803,CLIFTON,Fairfax County,Hillary Clinton,0.288493,10,617,566,617,Hillary Clinton,Hillary Clinton,371,0.601297,Martin J. O'Malley,Martin J. O'Malley,2,0.003241,Bernie Sanders,Bernie Sanders,193,0.312804
186,108,KINGS PARK,Fairfax,2016-03-16T11:51:43.000Z,stulad,108,KINGS PARK,Fairfax County,Hillary Clinton,0.17931,10,580,554,580,Hillary Clinton,Hillary Clinton,326,0.562069,Martin J. O'Malley,Martin J. O'Malley,6,0.010345,Bernie Sanders,Bernie Sanders,222,0.382759
187,133,DANBURY,Fairfax,2016-03-16T11:51:43.000Z,stulad,133,DANBURY,Fairfax County,Hillary Clinton,0.162011,10,179,173,179,Hillary Clinton,Hillary Clinton,101,0.564246,Martin J. O'Malley,Martin J. O'Malley,0,0,Bernie Sanders,Bernie Sanders,72,0.402235
188,118,LAKE BRADDOCK,Fairfax,2016-03-16T11:51:43.000Z,stulad,118,LAKE BRADDOCK,Fairfax County,Hillary Clinton,0.182773,10,952,886,952,Hillary Clinton,Hillary Clinton,528,0.554622,Martin J. O'Malley,Martin J. O'Malley,4,0.004202,Bernie Sanders,Bernie Sanders,354,0.371849
189,731,TYSONS,Fairfax,2016-03-16T11:51:43.000Z,stulad,731,TYSONS,Fairfax County,Hillary Clinton,0.069324,2,577,545,577,Hillary Clinton,Hillary Clinton,292,0.506066,Martin J. O'Malley,Martin J. O'Malley,1,0.001733,Bernie Sanders,Bernie Sanders,252,0.436742
190,627,WOODLAWN,Fairfax,2016-03-16T11:51:43.000Z,stulad,627,WOODLAWN,Fairfax County,Hillary Clinton,0.343381,30,763,738,763,Hillary Clinton,Hillary Clinton,497,0.651376,Martin J. O'Malley,Martin J. O'Malley,4,0.005242,Bernie Sanders,Bernie Sanders,235,0.307995
191,113,CANTERBURY,Fairfax,2016-03-16T11:51:43.000Z,stulad,113,CANTERBURY,Fairfax County,Hillary Clinton,0.270484,10,1013,922,1013,Hillary Clinton,Hillary Clinton,592,0.584403,Martin J. O'Malley,Martin J. O'Malley,7,0.00691,Bernie Sanders,Bernie Sanders,318,0.313919
192,117,WOODSON,Fairfax,2016-03-16T11:51:43.000Z,stulad,117,WOODSON,Fairfax County,Hillary Clinton,0.342903,30,627,560,627,Hillary Clinton,Hillary Clinton,386,0.61563,Martin J. O'Malley,Martin J. O'Malley,3,0.004785,Bernie Sanders,Bernie Sanders,171,0.272727
193,202,FLINT HILL,Fairfax,2016-03-16T11:51:43.000Z,stulad,202,FLINT HILL,Fairfax County,Hillary Clinton,0.27786,10,673,625,673,Hillary Clinton,Hillary Clinton,405,0.601783,Martin J. O'Malley,Martin J. O'Malley,2,0.002972,Bernie Sanders,Bernie Sanders,218,0.323923
194,204,MADISON,Fairfax,2016-03-16T11:51:43.000Z,stulad,204,MADISON,Fairfax County,Hillary Clinton,0.26699,10,206,198,206,Hillary Clinton,Hillary Clinton,126,0.61165,Martin J. O'Malley,Martin J. O'Malley,1,0.004854,Bernie Sanders,Bernie Sanders,71,0.34466
195,933,COMPTON,Fairfax,2016-03-16T11:51:43.000Z,stulad,933,COMPTON,Fairfax County,Bernie Sanders,0.008547,0,117,114,117,Hillary Clinton,Hillary Clinton,56,0.478632,Martin J. O'Malley,Martin J. O'Malley,1,0.008547,Bernie Sanders,Bernie Sanders,57,0.487179
196,917,STONE NORTH,Fairfax,2016-03-16T11:51:43.000Z,stulad,917,STONE NORTH,Fairfax County,Hillary Clinton,0.153203,10,359,342,359,Hillary Clinton,Hillary Clinton,197,0.548747,Martin J. O'Malley,Martin J. O'Malley,3,0.008357,Bernie Sanders,Bernie Sanders,142,0.395543
197,932,STONE SOUTH,Fairfax,2016-03-16T11:51:43.000Z,stulad,932,STONE SOUTH,Fairfax County,Hillary Clinton,0.068841,2,276,267,276,Hillary Clinton,Hillary Clinton,141,0.51087,Martin J. O'Malley,Martin J. O'Malley,4,0.014493,Bernie Sanders,Bernie Sanders,122,0.442029
198,910,LONDON TOWNE,Fairfax,2016-03-16T11:51:43.000Z,stulad,910,LONDON TOWNE,Fairfax County,Hillary Clinton,0.093333,2,750,728,750,Hillary Clinton,Hillary Clinton,396,0.528,Martin J. O'Malley,Martin J. O'Malley,5,0.006667,Bernie Sanders,Bernie Sanders,326,0.434667
199,924,SPINDLE,Fairfax,2016-03-16T11:51:43.000Z,stulad,924,SPINDLE,Fairfax County,Hillary Clinton,0.191977,10,349,342,349,Hillary Clinton,Hillary Clinton,203,0.581662,Martin J. O'Malley,Martin J. O'Malley,3,0.008596,Bernie Sanders,Bernie Sanders,136,0.389685
200,929,DIFFICULT RUN,Fairfax,2016-03-16T11:51:43.000Z,stulad,929,DIFFICULT RUN,Fairfax County,Hillary Clinton,0.381295,30,139,125,139,Hillary Clinton,Hillary Clinton,88,0.633094,Martin J. O'Malley,Martin J. O'Malley,2,0.014388,Bernie Sanders,Bernie Sanders,35,0.251799
201,914,VALE,Fairfax,2016-03-16T11:51:43.000Z,stulad,914,VALE,Fairfax County,Hillary Clinton,0.218557,10,485,448,485,Hillary Clinton,Hillary Clinton,276,0.569072,Martin J. O'Malley,Martin J. O'Malley,2,0.004124,Bernie Sanders,Bernie Sanders,170,0.350515
202,916,WAPLES MILL,Fairfax,2016-03-16T11:51:43.000Z,stulad,916,WAPLES MILL,Fairfax County,Hillary Clinton,0.304009,30,898,803,898,Hillary Clinton,Hillary Clinton,535,0.595768,Martin J. O'Malley,Martin J. O'Malley,6,0.006682,Bernie Sanders,Bernie Sanders,262,0.291759
203,908,HIDDEN MEADOW,Fairfax,2016-03-16T11:51:43.000Z,stulad,908,HIDDEN MEADOW,Fairfax County,Hillary Clinton,0.229508,10,488,440,488,Hillary Clinton,Hillary Clinton,275,0.563525,Martin J. O'Malley,Martin J. O'Malley,2,0.004098,Bernie Sanders,Bernie Sanders,163,0.334016
204,909,OAK HILL,Fairfax,2016-03-16T11:51:43.000Z,stulad,909,OAK HILL,Fairfax County,Hillary Clinton,0.255814,10,473,447,473,Hillary Clinton,Hillary Clinton,284,0.600423,Martin J. O'Malley,Martin J. O'Malley,0,0,Bernie Sanders,Bernie Sanders,163,0.344609
205,905,FRANKLIN,Fairfax,2016-03-16T11:51:43.000Z,stulad,905,FRANKLIN,Fairfax County,Hillary Clinton,0.260664,10,211,201,211,Hillary Clinton,Hillary Clinton,127,0.601896,Martin J. O'Malley,Martin J. O'Malley,2,0.009479,Bernie Sanders,Bernie Sanders,72,0.341232
206,927,ARMFIELD,Fairfax,2016-03-16T11:51:43.000Z,stulad,927,ARMFIELD,Fairfax County,Hillary Clinton,0.204748,10,337,322,337,Hillary Clinton,Hillary Clinton,194,0.575668,Martin J. O'Malley,Martin J. O'Malley,3,0.008902,Bernie Sanders,Bernie Sanders,125,0.37092
207,930,LEES CORNER,Fairfax,2016-03-16T11:51:43.000Z,stulad,930,LEES CORNER,Fairfax County,Hillary Clinton,0.152838,10,458,422,458,Hillary Clinton,Hillary Clinton,245,0.534934,Martin J. O'Malley,Martin J. O'Malley,2,0.004367,Bernie Sanders,Bernie Sanders,175,0.382096
208,920,CHANTILLY,Fairfax,2016-03-16T11:51:43.000Z,stulad,920,CHANTILLY,Fairfax County,Hillary Clinton,0.293103,10,522,494,522,Hillary Clinton,Hillary Clinton,322,0.616858,Martin J. O'Malley,Martin J. O'Malley,3,0.005747,Bernie Sanders,Bernie Sanders,169,0.323755
209,931,CARSON,Fairfax,2016-03-16T11:51:43.000Z,stulad,931,CARSON,Fairfax County,Hillary Clinton,0.2021,10,381,359,381,Hillary Clinton,Hillary Clinton,218,0.572178,Martin J. O'Malley,Martin J. O'Malley,0,0,Bernie Sanders,Bernie Sanders,141,0.370079
210,613,WESTGATE,Fairfax,2016-03-16T11:51:43.000Z,stulad,613,WESTGATE,Fairfax County,Hillary Clinton,0.271318,10,645,595,645,Hillary Clinton,Hillary Clinton,383,0.593798,Martin J. O'Malley,Martin J. O'Malley,4,0.006202,Bernie Sanders,Bernie Sanders,208,0.322481
211,616,GUNSTON,Fairfax,2016-03-16T11:51:43.000Z,stulad,616,GUNSTON,Fairfax County,Hillary Clinton,0.342723,30,426,415,426,Hillary Clinton,Hillary Clinton,282,0.661972,Martin J. O'Malley,Martin J. O'Malley,4,0.00939,Bernie Sanders,Bernie Sanders,136,0.319249
212,605,FORT HUNT,Fairfax,2016-03-16T11:51:43.000Z,stulad,605,FORT HUNT,Fairfax County,Hillary Clinton,0.356643,30,572,524,572,Hillary Clinton,Hillary Clinton,362,0.632867,Martin J. O'Malley,Martin J. O'Malley,4,0.006993,Bernie Sanders,Bernie Sanders,158,0.276224
213,611,STRATFORD,Fairfax,2016-03-16T11:51:43.000Z,stulad,611,STRATFORD,Fairfax County,Hillary Clinton,0.306494,30,770,714,770,Hillary Clinton,Hillary Clinton,473,0.614286,Martin J. O'Malley,Martin J. O'Malley,4,0.005195,Bernie Sanders,Bernie Sanders,237,0.307792
214,614,RIVERSIDE,Fairfax,2016-03-16T11:51:43.000Z,stulad,614,RIVERSIDE,Fairfax County,Hillary Clinton,0.337398,30,492,464,492,Hillary Clinton,Hillary Clinton,312,0.634146,Martin J. O'Malley,Martin J. O'Malley,6,0.012195,Bernie Sanders,Bernie Sanders,146,0.296748
215,602,BELLEVIEW,Fairfax,2016-03-16T11:51:43.000Z,stulad,602,BELLEVIEW,Fairfax County,Hillary Clinton,0.335677,30,569,538,569,Hillary Clinton,Hillary Clinton,363,0.637961,Martin J. O'Malley,Martin J. O'Malley,3,0.005272,Bernie Sanders,Bernie Sanders,172,0.302285
216,601,BELLE HAVEN,Fairfax,2016-03-16T11:51:43.000Z,stulad,601,BELLE HAVEN,Fairfax County,Hillary Clinton,0.380488,30,410,384,410,Hillary Clinton,Hillary Clinton,269,0.656098,Martin J. O'Malley,Martin J. O'Malley,1,0.002439,Bernie Sanders,Bernie Sanders,113,0.27561
217,621,GROSVENOR,Fairfax,2016-03-16T11:51:43.000Z,stulad,621,GROSVENOR,Fairfax County,Hillary Clinton,0.118993,10,437,420,437,Hillary Clinton,Hillary Clinton,234,0.535469,Martin J. O'Malley,Martin J. O'Malley,4,0.009153,Bernie Sanders,Bernie Sanders,182,0.416476
218,607,HUNTINGTON,Fairfax,2016-03-16T11:51:43.000Z,stulad,607,HUNTINGTON,Fairfax County,Hillary Clinton,0.238573,10,897,835,897,Hillary Clinton,Hillary Clinton,523,0.583055,Martin J. O'Malley,Martin J. O'Malley,3,0.003344,Bernie Sanders,Bernie Sanders,309,0.344482
219,703,FORT BUFFALO,Fairfax,2016-03-16T11:51:43.000Z,stulad,703,FORT BUFFALO,Fairfax County,Hillary Clinton,0.337766,30,376,365,376,Hillary Clinton,Hillary Clinton,246,0.654255,Martin J. O'Malley,Martin J. O'Malley,0,0,Bernie Sanders,Bernie Sanders,119,0.316489
220,709,MOSBY,Fairfax,2016-03-16T11:51:43.000Z,stulad,709,MOSBY,Fairfax County,Hillary Clinton,0.170588,10,680,638,680,Hillary Clinton,Hillary Clinton,376,0.552941,Martin J. O'Malley,Martin J. O'Malley,1,0.001471,Bernie Sanders,Bernie Sanders,260,0.382353
221,718,PINE RIDGE,Fairfax,2016-03-16T11:51:43.000Z,stulad,718,PINE RIDGE,Fairfax County,Hillary Clinton,0.167006,10,491,465,491,Hillary Clinton,Hillary Clinton,272,0.553971,Martin J. O'Malley,Martin J. O'Malley,3,0.00611,Bernie Sanders,Bernie Sanders,190,0.386965
222,717,WOODBURN,Fairfax,2016-03-16T11:51:43.000Z,stulad,717,WOODBURN,Fairfax County,Hillary Clinton,0.181637,10,501,481,501,Hillary Clinton,Hillary Clinton,284,0.566866,Martin J. O'Malley,Martin J. O'Malley,4,0.007984,Bernie Sanders,Bernie Sanders,193,0.38523
223,921,DEER PARK,Fairfax,2016-03-16T11:51:43.000Z,stulad,921,DEER PARK,Fairfax County,Hillary Clinton,0.111307,10,566,532,566,Hillary Clinton,Hillary Clinton,296,0.522968,Martin J. O'Malley,Martin J. O'Malley,3,0.0053,Bernie Sanders,Bernie Sanders,233,0.411661
224,606,HOLLIN HALL,Fairfax,2016-03-16T11:51:43.000Z,stulad,606,HOLLIN HALL,Fairfax County,Hillary Clinton,0.363121,30,705,653,705,Hillary Clinton,Hillary Clinton,453,0.642553,Martin J. O'Malley,Martin J. O'Malley,3,0.004255,Bernie Sanders,Bernie Sanders,197,0.279433
225,610,SHERWOOD,Fairfax,2016-03-16T11:51:43.000Z,stulad,610,SHERWOOD,Fairfax County,Hillary Clinton,0.415584,30,539,500,539,Hillary Clinton,Hillary Clinton,361,0.669759,Martin J. O'Malley,Martin J. O'Malley,2,0.003711,Bernie Sanders,Bernie Sanders,137,0.254174
226,926,POWELL,Fairfax,2016-03-16T11:51:43.000Z,stulad,926,POWELL,Fairfax County,Hillary Clinton,0.117829,10,645,619,645,Hillary Clinton,Hillary Clinton,346,0.536434,Martin J. O'Malley,Martin J. O'Malley,3,0.004651,Bernie Sanders,Bernie Sanders,270,0.418605
227,114,OLDE CREEK,Fairfax,2016-03-16T11:51:43.000Z,stulad,114,OLDE CREEK,Fairfax County,Hillary Clinton,0.271071,10,439,410,439,Hillary Clinton,Hillary Clinton,262,0.596811,Martin J. O'Malley,Martin J. O'Malley,5,0.01139,Bernie Sanders,Bernie Sanders,143,0.32574
228,316,SALONA #1,Fairfax,2016-03-16T11:51:43.000Z,stulad,316,SALONA #1,Fairfax County,Hillary Clinton,0.309322,30,236,212,236,Hillary Clinton,Hillary Clinton,141,0.597458,Martin J. O'Malley,Martin J. O'Malley,2,0.008475,Bernie Sanders,Bernie Sanders,68,0.288136
229,333,SALONA #2,Fairfax,2016-03-16T11:51:43.000Z,stulad,333,SALONA #2,Fairfax County,Hillary Clinton,0.423767,30,446,408,446,Hillary Clinton,Hillary Clinton,298,0.668161,Martin J. O'Malley,Martin J. O'Malley,1,0.002242,Bernie Sanders,Bernie Sanders,109,0.244395
230,734,HUNTERS BRANCH,Fairfax,2016-03-16T11:51:43.000Z,stulad,734,HUNTERS BRANCH,Fairfax County,Hillary Clinton,0.116788,10,548,506,548,Hillary Clinton,Hillary Clinton,284,0.518248,Martin J. O'Malley,Martin J. O'Malley,0,0,Bernie Sanders,Bernie Sanders,220,0.40146
231,134,UNIVERSITY,Fairfax,2016-03-16T11:51:43.000Z,stulad,134,UNIVERSITY,Fairfax County,Bernie Sanders,0.577057,30,863,855,863,Hillary Clinton,Hillary Clinton,174,0.201622,Martin J. O'Malley,Martin J. O'Malley,9,0.010429,Bernie Sanders,Bernie Sanders,672,0.778679
232,408,MOUNT EAGLE,Fairfax,2016-03-16T11:51:43.000Z,stulad,408,MOUNT EAGLE,Fairfax County,Hillary Clinton,0.267884,10,657,625,657,Hillary Clinton,Hillary Clinton,398,0.605784,Martin J. O'Malley,Martin J. O'Malley,5,0.00761,Bernie Sanders,Bernie Sanders,222,0.3379
233,919,GREEN TRAILS,Fairfax,2016-03-16T11:51:43.000Z,stulad,919,GREEN TRAILS,Fairfax County,Hillary Clinton,0.147989,10,696,666,696,Hillary Clinton,Hillary Clinton,383,0.550287,Martin J. O'Malley,Martin J. O'Malley,4,0.005747,Bernie Sanders,Bernie Sanders,280,0.402299
234,509,PLAZA,Fairfax,2016-03-16T11:51:43.000Z,stulad,509,PLAZA,Fairfax County,Hillary Clinton,0.447761,30,335,328,335,Hillary Clinton,Hillary Clinton,237,0.707463,Martin J. O'Malley,Martin J. O'Malley,4,0.01194,Bernie Sanders,Bernie Sanders,87,0.259701
235,109,LITTLE RUN,Fairfax,2016-03-16T11:51:43.000Z,stulad,109,LITTLE RUN,Fairfax County,Hillary Clinton,0.23125,10,320,303,320,Hillary Clinton,Hillary Clinton,188,0.5875,Martin J. O'Malley,Martin J. O'Malley,1,0.003125,Bernie Sanders,Bernie Sanders,114,0.35625
236,520,SKYLINE,Fairfax,2016-03-16T11:51:43.000Z,stulad,520,SKYLINE,Fairfax County,Hillary Clinton,0.26276,10,529,493,529,Hillary Clinton,Hillary Clinton,306,0.57845,Martin J. O'Malley,Martin J. O'Malley,2,0.003781,Bernie Sanders,Bernie Sanders,167,0.31569
237,506,HOLMES #1,Fairfax,2016-03-16T11:51:43.000Z,stulad,506,HOLMES #1,Fairfax County,Hillary Clinton,0.273885,10,157,151,157,Hillary Clinton,Hillary Clinton,97,0.617834,Martin J. O'Malley,Martin J. O'Malley,0,0,Bernie Sanders,Bernie Sanders,54,0.343949
238,619,BELVOIR,Fairfax,2016-03-16T11:51:43.000Z,stulad,619,BELVOIR,Fairfax County,Hillary Clinton,0.307692,30,442,423,442,Hillary Clinton,Hillary Clinton,279,0.631222,Martin J. O'Malley,Martin J. O'Malley,1,0.002262,Bernie Sanders,Bernie Sanders,143,0.323529
239,403,FORESTDALE,Fairfax,2016-03-16T11:51:43.000Z,stulad,403,FORESTDALE,Fairfax County,Hillary Clinton,0.348243,30,313,295,313,Hillary Clinton,Hillary Clinton,201,0.642173,Martin J. O'Malley,Martin J. O'Malley,2,0.00639,Bernie Sanders,Bernie Sanders,92,0.29393
240,234,ALDRIN,Fairfax,2016-03-16T11:51:43.000Z,stulad,234,ALDRIN,Fairfax County,Hillary Clinton,0.319277,30,664,622,664,Hillary Clinton,Hillary Clinton,416,0.626506,Martin J. O'Malley,Martin J. O'Malley,2,0.003012,Bernie Sanders,Bernie Sanders,204,0.307229
241,201,ARMSTRONG,Fairfax,2016-03-16T11:51:43.000Z,stulad,201,ARMSTRONG,Fairfax County,Hillary Clinton,0.170704,10,867,824,867,Hillary Clinton,Hillary Clinton,484,0.558247,Martin J. O'Malley,Martin J. O'Malley,4,0.004614,Bernie Sanders,Bernie Sanders,336,0.387543
242,233,NORTH POINT,Fairfax,2016-03-16T11:51:43.000Z,stulad,233,NORTH POINT,Fairfax County,Hillary Clinton,0.370817,30,747,692,747,Hillary Clinton,Hillary Clinton,484,0.647925,Martin J. O'Malley,Martin J. O'Malley,1,0.001339,Bernie Sanders,Bernie Sanders,207,0.277108
1000,99999,ABSENTEE,Fairfax,,,99999,ABSENTEE,Fairfax County,,,,0,0,0,Hillary Clinton,Hillary Clinton,3867,,Martin J. O'Malley,Martin J. O'Malley,23,,Bernie Sanders,Bernie Sanders,2456,
1001,99998,PROVISIONAL,Fairfax,,,99998,PROVISIONAL,Fairfax County,,,,0,0,0,Hillary Clinton,Hillary Clinton,38,,Martin J. O'Malley,Martin J. O'Malley,0,,Bernie Sanders,Bernie Sanders,54,
